Title,Company,Location,Salary,Description
Graduate Data Scientist - Modelling (Sep 2022),Funding Circle UK,London EC4V,Negotiable,"Using specific tools and languages such as R, Python, SQL and Tableau for reporting and analysis on our AWS data platform."
Data & Analytics - Internship,NatWest Group,London,"£21,500 a year","And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…"
"Research Data Scientist, Inter",Facebook App,London,Negotiable,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2."
Multiple Data Scientist/Senior Analyst roles (SQL or Tableau...,Bank of England,London,"£45,900 - £59,400 a year","Experience in building and supporting data models, data solutions or data visualisations."
"Data Scientist, Analytics Inter",Facebook App,London,Negotiable,Perform large-scale data analysis to extract useful business insights.
Data Scientist,Bank of England,London,"£45,900 - £55,000 a year",Experience in data visualisation or other work that involves aggregating and presenting data in a clear and concise way.
"Data Scientist, Personal Banking",Monzo,"London
•
Remote",Negotiable,90% of day-to-day data-driven decisions are covered by self-serve analytics through Looker which gives data scientists the head space to focus on more impactful…
Clinical Data Scientist - NLP Cogstack,Guy's and St Thomas' NHS Foundation Trust,London SE1 7NJ,"£54,223 - £60,316 a year",A consortium of NHS Trusts have set out with the support of a NHSX Artificial Intelligence (AI) Award to test the use of Natural Language Processing AI in the…
Machine Learning Engineer Graduate (Recommendation) - 2022 S...,TikTok,London,Negotiable,"Interest in at least one of the following areas: machine learning, data mining, algorithms."
Data Science at M&S,Marks & Spencer,London,Negotiable,SQL to retrieve and manipulate data.
"Data Scientist, Analytics (University Graduate)",Facebook App,London,Negotiable,Experience in presenting qualitative and quantitative data.
Data Scientist,Cantine,London,Negotiable,Assess and improve the effectiveness of existing data sources and data-gathering techniques.
Data Scientist,TikTok,London,Negotiable,Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL.
Data Scientist Associate - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable understanding and experience in data structure, data mining and data analysis techniques with real world data."
People Analytics Data Scientist,MasterCard,"London
•
Temporarily Remote",Negotiable,"Ability to develop a nuanced business understanding, testable hypotheses, and meaningful findings from data – able to find the story in the data."
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Lead Data Scientist - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable experience in data structure, data mining and data analysis techniques with real world data."
Head of Marketing Analytics,Monzo,London,Negotiable,You have experience hiring and managing a team of high performing data scientists and analysts.
Data Scientist,Ralph Lauren,London,Negotiable,"Strong ability using a variety of data mining / data analysis methods, using a variety of data tools, building and implementing models, using / creating…"
Data Science - Inter,Argus Media,London WC1X 8NL,Negotiable,Experience with exploratory data analysis and data visualisation.
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
2022 AI & Data Science Analyst Program - Summer Internship (...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Knowledge of machine learning / data science theory, techniques and tools."
"Senior Data Scientist, Borrowing",Monzo,"London
•
Remote",Negotiable,"We have a strong culture of data-driven decision making across the whole company - and want to embed this into Monzo Flex, using powerful, real-time analytics…"
2022 AI & Data Science Associate Program - Off-Cycle Interns...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Knowledge of machine learning / data science theory, techniques and tools."
Machine Learning Scientist (DS3),Asos.com,London,Negotiable,"Experience accessing and combining data from multiple sources and building data pipelines, including a good knowledge of SQL."
Data Scientist,G-Research,London,Negotiable,Demonstrable proficiency in statistical data analysis and data visualisation.
Machine Learning Engineer Graduate (Recommendation) - 2022 S...,TikTok,London,Negotiable,"Interest in at least one of the following areas: machine learning, data mining, algorithms."
CTO VP Data Scientist,"JPMorgan Chase Bank, N.A.",London,Negotiable,Help the LOB stakeholders innovate through data-driven decisioning by analyzing data from diverse data sources to create rich insights that enable better…
"Senior Data Scientist, Payments",Monzo,"London
•
Remote",Negotiable,90% of day-to-day data-driven decisions are covered by self-serve analytics through Looker which gives data scientists the head space to focus on more impactful…
Data & Analytics - Internship,NatWest Group,London,"£21,500 a year","And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…"
"Data Scientist, Analytics Inter",Facebook App,London,Negotiable,Perform large-scale data analysis to extract useful business insights.
Data Scientist (Associate or VP) - Applied AI for Global Tec...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable experience in data structure, data mining and data analysis techniques with real world data."
Lead Data Scientist,Lidl,London SW19 4JS,Negotiable,"Technical knowledge of data platforms and infrastructures (e.g. DataBricks, Azure, GCP) is a plus."
Data Science Graduate Programm,Diageo,London,Negotiable,"Machine Learning (ML) Engineering – ML is the third musketeer in product development, working closely in squads with other experts to develop data and model…"
Product Data Scientist - VP,"JPMorgan Chase Bank, N.A.",London,Negotiable,Help the LOB stakeholders innovate through data-driven decisioning by querying data and merging information from diverse data sources to create rich datasets…
Lead Data Scientist - Channel Marketing,Farfetch,London,Negotiable,"Our London office is located in Old Street, London's tech hub, and is home to a broad range of teams including Commercial, Marketing, and Product."
Senior Python Data Engineer - AI Solutions,"JPMorgan Chase Bank, N.A.",London,Negotiable,Work closely with top-level data scientists to implement and productize scalable data models.
Data Scientist,Sopra Steria,Hemel Hempstead HP2 7AH,"£35,000 - £45,000 a year","Develop, support, educate, and promote our solution capabilities in data science within the data analyst/data science community."
Senior Data Scientist,Monzo,"London
•
Remote",Negotiable,We work in cross-functional squads where every data scientist is a member of a central data discipline and fully embedded into 1 product squad alongside…
Data Science Industrial Placement 2022,Marks & Spencer,London,Negotiable,"From access to in-house development programmes, working closely with seasoned scientists and subject matter expertise on verity of advanced AI and machine…"
Senior Data Scientist (Europe - Remote),Shopify,"London
•
Remote",Negotiable,Strong data storytelling and strategic thinking.
Intern - Data Scientist,Behold.ai,London,Negotiable,
Senior Data Scientist,Marks & Spencer,London,Negotiable,Work with the Head of Function and other data scientists within a small team using commanding knowledge of data science techniques and statistics to deliver…
Data Scientist - Associat,Financial Conduct Authority,London,"£35,000 - £45,000 a year","Experience of querying and analysing data from relational databases and understanding of data models, data dictionary and data taxonomies."
Data Scientist,Government Digital Service,London,"£64,500 a year","Experience of data manipulation, visualisation and analysis using programming skills in a data science language such as Python and SQL;"
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Data Scientist - Innovation Lab,Citi,London,Negotiable,"Experience with data visualisation tools, such as Matplotlib, D3.js, GGplot, etc."
Junior Data Scientist,Harrington Starr,London,"£40,000 a year","A small Hedge Fund based in the West End of London are seeking a junior Data Scientist to join a team of two, working with internal and external datasets to…"
Junior Data scientist,Oho Group,London,"£30,000 - £38,000 a year",A problem solver with a creative approach to data and who is passionate about becoming a great Junior Data scientist and who is comfortable approaching tasks…
Intern - Data Scientist,Behold.ai,London,Negotiable,
Data Scientist,WildBrain SPARK,London NW1 1BU,Negotiable,"Using data to shape the future of kids entertainment – collating, inferring, converting our data sets then building, training, deploying and enhancing AI models…"
Senior Data Scientist,AnyVan,London,"£39,144 - £89,612 a year",Work with the Chief Data Scientist and other data scientists within a small team using data science techniques in creative ways to impact meaningful decisioning…
Data Scientist,G-Research,London,Negotiable,Demonstrable proficiency in statistical data analysis and data visualisation.
Data Scientist – Natural Language Processing – Mental Health,Shift F5 Ltd,London,Negotiable,"They use a highly cutting edge version of NLP to extract meaning from a myriad of handwritten, typed, recorded and annotated set of clinical notes obtained from…"
Data Scientist,Cleo,London,"£45,000 - £79,000 a year",At least 2 years of experience in data science or related roles.
Data Scientist,BeZero Carbon,London,Negotiable,"Manage inbound data sources, structure and maintain data:"
Data Scientist,WarnerMedia,London,Negotiable,"Synthesize analytics and statistical approaches into easy-to-consume storylines, both visually and verbally, and clearly communicate with both non-data science…"
Data Scientist,RELX,London,Negotiable,Modelling : Develop and optimise models leveraging thousands of data points from the ThreatMetrix Digital Identity Network and data feeds from our customers.
2022 EMEA Quant and Data Analytics Programm,Macquarie Group Limited,London,Negotiable,You also need to have strong programming skills and experience with Python and data science tools.
CTO VP Data Scientist,"JPMorgan Chase Bank, N.A.",London,Negotiable,Help the LOB stakeholders innovate through data-driven decisioning by analyzing data from diverse data sources to create rich insights that enable better…
CTO VP Data Scientist,"JPMorgan Chase Bank, N.A.",London,Negotiable,Help the LOB stakeholders innovate through data-driven decisioning by analyzing data from diverse data sources to create rich insights that enable better…
Data Scientist - Machine Learning,Algo Capital,Greater London,Negotiable,Pull data from disparate sources.
Senior Data Scientist,Marks & Spencer,London,Negotiable,Work with the Head of Function and other data scientists within a small team using commanding knowledge of data science techniques and statistics to deliver…
Data Scientist,ctrlio Ltd,"London
•
Remote",Negotiable,"Work closely with our team of data scientists, product owners and software engineers."
Performance Marketing - Data Scientist,Ticketmaster,London N1 9HF,Negotiable,Strong experience in data analytics with proven record of delivering business growth by guiding stakeholder decision making.
Data Scientist,Monese,London WC2N 5DU,Negotiable,Develop detailed knowledge of underlying data assets and data products and provide subject matter expertise on current and future uses of data.
"Data Scientist, MediaGuard",Human Security,"London
•
Remote",Negotiable,"You’ve worked as a data scientist solving large-scale data intensive problems in production systems (we process trillions of events per day, so literacy with…"
DATA SCIENTIST,Bangura Solutions,London,Negotiable,"Understanding of data manipulation, assessment and explatory analysis."
Data Scientist,Wayve,London,Negotiable,"Comfortable querying and building large datasets, writing production-level SQL for use in data-transformation pipelines."
Data Scientist,Bentley Systems,London EC3V,Negotiable,Experience in data driven modelling techniques is desirable.
2022 Data Insights Unit Graduate Programm,Schroders,London,Negotiable,"Data theory (Database design, normal data, tidy data, data governance, data validation, etc.)."
Data Scientist (Strategic Insights),PlayStation Europe,London,Negotiable,Independently extract and integrate data from multiple data systems (including writing complex SQL queries) to support analytical efforts.
Data Science Graduate Programm,Diageo,London,Negotiable,"Machine Learning (ML) Engineering – ML is the third musketeer in product development, working closely in squads with other experts to develop data and model…"
Data Scientist,Opportunities at Bought By Many and ManyPets,"London
•
Remote",Negotiable,"You've likely worked as a Data Scientist before, with hands-on experience of statistical data analysis, data visualisation and business storytelling."
Data Scientist,AiDash,London SW1A 2DX,Negotiable,Work cross-functionally with data scientists and data engineers to integrate Geospatial models into the production pipeline.
Data Scientist,Health Navigator,"London
•
Remote","£45,000 - £60,000 a year",Experience with working with sensitive data or data in a health care environment.
Anti-Financial Crime (AFC) Data Scientist,Deutsche Bank,London,Negotiable,"Demonstrated experience in analytics platforms (Big Data, Scala, PySpark, Python, R, etc.) for modelling, data mining and statistical analysis."
Data Scientist,Frontier Economics Limited,London WC1V,Negotiable,Experience of working with large datasets and data wrangling.
Data Science Industrial Placement 2022,Marks & Spencer,London,Negotiable,"From access to in-house development programmes, working closely with seasoned scientists and subject matter expertise on verity of advanced AI and machine…"
2022 Data Insights Unit Graduate Programm,Schroders,London,Negotiable,"Data theory (Database design, normal data, tidy data, data governance, data validation, etc.)."
Data Scientist - Perform Plus - Senior Associat,PwC,London,Negotiable,Able to articulate complex data concepts to both technical and non-technical audiences including “storytelling” through data visualisation;
"Data Scientist, Economist",Deliveroo,London,Negotiable,"Data Scientists at Deliveroo report into our data science management team, and we have a highly active data science community, with guest lecturers, study…"
"Data Scientist, Content Platform",Spotify,"London
•
Remote",Negotiable,Create insights based on huge amounts of data using cutting edge data science tools and methodologies.
Data Scientist,KANTAR,London,Negotiable,To provide expertise and technical insight into new metrics for audience data.
Python Data Scientist (WFH 3 days a week),Exposed Solutions Limited,"London
•
Remote",Negotiable,: Refine and improve data collection and analysis tools.
Junior Data Scientist - CRM Team,Novafutur,London,Negotiable,Ability to analyse big data sets coming from various sources.
Data Scientist,QBE,London,Negotiable,The European Operations ‘Pricing and Data Science’ team consists of 12 experienced data scientists and 15 pricing actuaries.
Data Scientist,Catapult Cell and Gene Therapy,London,Negotiable,Working with scientists at all levels within the Industrialisation team to develop methods for data analysis across a range of projects involving the use of…
Senior Data Scientist (Europe - Remote),Shopify,"London
•
Remote",Negotiable,Strong data storytelling and strategic thinking.
Geospatial Data Scientist,BuroHappold Engineering,London,Negotiable,Taking the lead on the development of data science related projects and analytics products with underlying spatial data to develop our new urban analytics…
Data Scientist - Perform Plus - Senior Associat,PwC,London,Negotiable,Able to articulate complex data concepts to both technical and non-technical audiences including “storytelling” through data visualisation;
Data Scientist,WildBrain,London NW1 1BU,Negotiable,"Using data to shape the future of kids entertainment – collating, inferring, converting our data sets then building, training, deploying and enhancing AI models…"
Lead Data Scientist,HSBC,London,Negotiable,Significant experience in presenting complex data science techniques to wide-ranging audiences.
Associate Data Scientist,Infosys,London,Negotiable,Perform Exploratory Data Analysis on customer data.
Data Scientist,WildBrain SPARK,London NW1 1BU,Negotiable,"Using data to shape the future of kids entertainment – collating, inferring, converting our data sets then building, training, deploying and enhancing AI models…"
Junior Data scientist,Oho Group,London,"£30,000 - £38,000 a year",A problem solver with a creative approach to data and who is passionate about becoming a great Junior Data scientist and who is comfortable approaching tasks…
Head of Data Scienc,Talenting,London,"£110,000 - £120,000 a year","Experience with data engineering, data management, and visualisation tools."
DATA SCIENTIST,Bangura Solutions,London,Negotiable,"Understanding of data manipulation, assessment and explatory analysis."
Analytics Engineer,Monzo,"London
•
Temporarily Remote",Negotiable,"This may include payload design of source data, logical data modelling, implementation, metadata and testing standards."
AM Data Science - ESG - VP,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Discovering, developing and building out new data sets including the use of alternative data."
"Research Data Scientist, Inter",Facebook App,London,Negotiable,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2."
Lead Data Scientist,Ellevate Football,London W1K,"£40,000 - £80,000 a year","Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…"
"Data Scientist, Causal Inferenc",Deliveroo,London,Negotiable,"Data Scientists at Deliveroo report into our data science management team, and we have a highly active data science community, with guest lecturers, study…"
Data Scientist,Health Navigator,"London
•
Remote","£45,000 - £60,000 a year",Experience with working with sensitive data or data in a health care environment.
Python Data Analytics Lead - Front Offic,Vertus Partners,London,"£90,000 - £110,000 a year",An understanding of data modelling practices.
Lead Data Scientist - MLOps,Ocado Group,London,Negotiable,Drive a consistent strategy around the use of data and data science across Ocado Technology.
Data Scientist - Two Sigma Insurance Quantified,"Two Sigma Investments, LLC.",London,Negotiable,Apply state of the art computer vision and NLP techniques to extract data from unstructured sources.
Lead Data Scientist,Ellevate Football,London W1K,"£40,000 - £80,000 a year","Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…"
Data Scientist,WilsonHCG,Addlestone KT15 2NX,Negotiable,"Linking various sources of data and creating key outputs, ensuring data accuracy and alignment of various systems."
"Data Scientist, Risk Data Mining",TikTok,London,Negotiable,"Align risk teams and their stakeholders on risk control numeric goals, promote impact-oriented, data-driven data science practices for risks."
"Data Scientist, Analytics III",Expedia Group,London EC1V 4EX,Negotiable,Ability to tell a compelling story using data.
2022 AI & Data Science Associate Program - Off-Cycle Interns...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Knowledge of machine learning / data science theory, techniques and tools."
Data scientist,MBR Partners,London,Negotiable,Big data experience eg. Spark or equivalent.
Data Scientist - UK,MOLOCO,London,Negotiable,Data validation: verifying the data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get trained with…
Graduate Data Scientist,L&Q,"Stratford
•
Temporarily Remote","£27,000 a year",You will join a small but strong team of data scientists and will work as part of cross-functional AGILE teams to deliver high-impact projects.
Product Data Scientist,Snapchat,London,Negotiable,Experience using SQL or similar big data querying languages.
Data Scientist,tails.com,Richmond,Negotiable,Uncover new opportunities with deep dives into our data.
Data Scientist - (London),Echobox,London,Negotiable,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc."
Data Scientist (Card Fraud Risk),Railsbank,London,Negotiable,Take delight in data visualisations and communicating complex findings to non specialist stakeholders.
Quantum Machine Learning Internship,Cambridge Quantum Computing,London,Negotiable,Cambridge Quantum Computing limited (CQC) is looking for an intern that will be embedded in its Machine Learning and Quantum Algorithm team.
Senior Data Scientist,Monzo,"London
•
Remote",Negotiable,We work in cross-functional squads where every data scientist is a member of a central data discipline and fully embedded into 1 product squad alongside…
Data Scientist,Teamlog,London,Negotiable,Experience with time series data.
Data Scientist,Sky,Isleworth,Negotiable,"Experience in data engineering, data modelling for advanced analytics, data processing on cloud, model management and app deployment on cloud is highly…"
Sports Performance Data Scientist,777 Partners,London,Negotiable,Demonstrated ability to take raw data and turn it into actionable insights and work plans that deliver measurable basketball performance outcomes.
Applied Data Scientist,dunnhumby,London,Negotiable,"Using big data, deep expertise and AI-driven platforms to decode the 21st century human experience – then redefine it in meaningful and surprising ways that put…"
Performance Marketing - Data Scientist,Live Nation,London N1,Negotiable,Strong experience in data analytics with proven record of delivering business growth by guiding stakeholder decision making.
Product Specialist - Data and AI SaaS Onboarding - Customer...,IBM,London,Negotiable,Background in data science and project management also an asset.
Graduate Machine Learning Engineer (Trust and Safety) - 2022...,TikTok,London,Negotiable,"Developing highly scalable ML learning algorithms for computer vision, natural language processing, data mining and user modelling;"
Data Engineer (Machine Learning),"JPMorgan Chase Bank, N.A.",London,Negotiable,Designing production APIs and data delivery processes.
Senior Data Scientist - Forecasting,Bumble,London,Negotiable,Partner with the wider Business Analytics and data sciences teams to solve bigger business problems.
Data Scientist,Inclusive Finance,London,Negotiable,Using traditional Credit Rating data as well as Open Banking data.
Data Scientist,Kingfisher Plc,London W2,Negotiable,"Solid understanding of computer science fundamentals, including data structures, algorithms, data modelling and software architecture."
"Graduate Applied Scientist, Defence - 2022 Start",Improbable,London,Negotiable,"You will join a graduate programme that includes an accelerator induction, structured development plan and mentorship from an experienced team driven by solving…"
Data Scientist,Collinson,London EC3A 7BU,Negotiable,Implement best practice for consumer analytics and data management in compliance with relevant data regulations.
"Senior Data Scientist, Content Platform",Spotify,"London
•
Remote",Negotiable,Create insights based on huge amounts of data using cutting edge data science tools and methodologies.
Data Scientist,Kingfisher Plc,London W2,Negotiable,"Solid understanding of computer science fundamentals, including data structures, algorithms, data modelling and software architecture."
"Graduate Applied Scientist, Defence - 2022 Start",Improbable,London,Negotiable,"You will join a graduate programme that includes an accelerator induction, structured development plan and mentorship from an experienced team driven by solving…"
Data Scientist,Collinson,London EC3A 7BU,Negotiable,Implement best practice for consumer analytics and data management in compliance with relevant data regulations.
Data Scientist,Axa,Weybridge KT13 0NY,Negotiable,Contribute to development of current data pipelines.
Data Scientist,Amazon UK Services Ltd.,London,Negotiable,"Three or more years in a research science, ML, or data scientist role and a track record of strong statistical analysis and building machine or deep learning…"
Data Scientist - Systematic Information Solutions,Deutsche Bank,London,Negotiable,"Experience with data visualization tools Qlikview, Qliksense etc."
Data Scientist,Zilliant,London,Negotiable,Experience using data visualization tools such as Tableau.
Lead Data Scientist - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable experience in data structure, data mining and data analysis techniques with real world data."
Data Scientist,GE,"London W6 8BJ
•
Remote",Negotiable,Experience modelling high dimensional data.
Data Scientist (DS1),Ocado Group,Hatfield,Negotiable,The role of an Data Scientist is to develop optimisation algorithms to improve the efficiency of our operation.
Senior Data Scientist,Tessian,London,Negotiable,"You work for a business function analysing & reporting on how to improve a key metric, e.g increasing user conversion."
"Senior Data Scientist, Borrowing",Monzo,"London
•
Remote",Negotiable,"We have a strong culture of data-driven decision making across the whole company - and want to embed this into Monzo Flex, using powerful, real-time analytics…"
Senior Data Scientist - Actuary - Cyber Insurtech,Propel,London,"£60,000 - £100,000 a year",Experience working as an actuary or a data scientist on risk based projects.
Data Scientist,INFOSTASH LTD,London N1,"£30,000 - £45,000 a year",Develop custom data models and algorithms to apply to data sets.
Machine Learning Engineer Summer Intern (Trust & Safety) - 2...,TikTok,London,Negotiable,Good understanding of data structures and algorithms.
Data Scientist,CAPCO,London,Negotiable,Define approaches to embed and scale machine learning models with senior data scientist oversight.
Data Scientist - Banking - Londo,Morgan McKinley,London,"£55,000 - £60,000 a year",2 years + experience working as a data scientist with modelling / statistical focus in your role.
Senior Data Scientist - Search & Discovery,Farfetch,London,Negotiable,"You will join a team of Data Scientists, Engineers, and Product Designers to help build and increase, through research and experimentation, our data-driven…"
Senior Data Scientist,portify,"London
•
Remote","£70,000 a year",Work together with other data scientists to improve MLOps processes.
Data Scientist,Brit Group Services,London,Negotiable,3+ years utilising data science in a commercial.
"Senior Data Scientist, Payments",Monzo,"London
•
Remote",Negotiable,90% of day-to-day data-driven decisions are covered by self-serve analytics through Looker which gives data scientists the head space to focus on more impactful…
Data Scientist,Ralph Lauren,London,Negotiable,"Strong ability using a variety of data mining / data analysis methods, using a variety of data tools, building and implementing models, using / creating…"
Housing Statistician - 2 Posts,"Department for Levelling Up, Housing and...",London,"£39,101 a year",Work closely with the data collection team to ensure data quality and with analysis at other government bodies to ensure compatibility with similar collections.
Product Data Scientist - VP,"JPMorgan Chase Bank, N.A.",London,Negotiable,Help the LOB stakeholders innovate through data-driven decisioning by querying data and merging information from diverse data sources to create rich datasets…
Data Scientist,Smarkets,London,Negotiable,You have 4+ years of experience as a hands-on data scientist or a data engineer.
Vice President - Data Scienc,Capgemini Invent,London,Negotiable,"A deep understanding of trends in the AI, data science or analytics market and how these are changing."
Data Scientist,GSK,Brentford,Negotiable,Ability communicating complex data science concepts.
Global Data Scientist,MediaCom,London,Negotiable,Demonstrated experience applying data science methods to real-world data problems.
Lead Data Scientist - MLOps,Ocado Technology,London,Negotiable,Drive a consistent strategy around the use of data and data science across Ocado Technology.
Python Data Scientist (WFH 3 days a week),Exposed Solutions Limited,"London
•
Remote",Negotiable,: Refine and improve data collection and analysis tools.
Data Scientist,air-recruitment,"London
•
Temporarily Remote","Up to £60,000 a year","This agency department is hiring at different levels of data scientists, depending on your seniority you will also be responsible for training and guiding…"
Consultants - Data Science & Analytics,Amey plc,London,Negotiable,"Have experience with big data technologies e.g. Spark, Cassandra."
Data Scientist,Astellas,Addlestone,Negotiable,Provide meaningful data to key decision makers and data driven analytical analysis to support the G2N management approach.
Data Scientist - Changing Lanes,Capco,London,Negotiable,Defining approaches to embed and scale machine learning models with senior data scientist oversight.
Data Scientist,Astellas,Addlestone,Negotiable,Provide meaningful data to key decision makers and data driven analytical analysis to support the G2N management approach.
Data Scientist - Changing Lanes,Capco,London,Negotiable,Defining approaches to embed and scale machine learning models with senior data scientist oversight.
AM Data Science - ESG - VP,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Discovering, developing and building out new data sets including the use of alternative data."
Lead Data Scientist,HSBC,London,Negotiable,Significant experience in presenting complex data science techniques to wide-ranging audiences.
Data Scientist,GE Renewable Energy,"London W6 8BJ
•
Remote",Negotiable,Experience modelling high dimensional data.
Lead Data Scientist,Digital Waffle,"London
•
Remote","£75,000 a year",Evaluate and make recommendations for data gathering techniques that will improve the efficacy of machine learning models and other analytical systems.
Data Scientist,HamlynWilliams,London,"£90,000 a year",The company is looking for a Data Scientist to work closely with the Chief Data Officer to provide actional insight from raw data.
Machine Learning Research Scientist,nPlan,London,Negotiable,"You will be part of one of the squads, working in collaboration with other machine learning and data scientists and engineers to draw valuable insight from the…"
Data Scientist,Harnham,London,"£60,000 - £70,000 a year",You will work with various data sets in different divisions as well as the external data from clients.
Data Analyst / Scientist,UBS,London,Negotiable,"Experience (1=3 years) working as a data analyst / scientist in audit, compliance or internal risk management areas and associated data and data structures…"
"Customer Analytics Data Scientist, Manager",PwC,London,Negotiable,Track record of professional achievements to include leading teams of data scientists and analysts in project work.
Urban Data Scientist,Atkins,London,Negotiable,"Experience in manipulation and analysis of both real-time and static data sets, with a focus on geospatial and urban data analysis, using standard GIS software …"
Business Analytics Internship,G-Research,London,Negotiable,Use a range of analytical and statistical techniques to answer questions using data.
