Title,Company,Location,Salary,Description
Financial Quant/Data Science - Fintech - London or Paris,Landy Tech,London,Negotiable,"You will be required to spec algorithms and deliver them to developers as well as developing data testing, documentation and data lineage."
Data Scientist,La Fosse Associates,"London
•
Remote","£60,000 - £80,000 a year",Develop company's data science capability and advocate for the use of company data and information assets.
Data Scientist (Vertical Applications),Consensys,London,Negotiable,"Develop data collection, data management, data analytics strategies that optimize efficiency and quality."
Senior Data Scientist - Cyber Insurtech - Pricing,Propel,London,"£60,000 - £100,000 a year",A high-growth and Private Equity backed Cyber Insurtech that has won awards for its unique and brilliant culture is looking to hire a data scientist to join its…
Data Scientist – (Business Consultancy / Analysis),Shift F5,London,Negotiable,The company are a recently-formed collective of well-regarded Cyber Security thoughtleaders & AI specialists who are developing a unique cloud-based integrated…
Data Science Internship,G-Research,London,Negotiable,Demonstrable proficiency in statistical data analysis and data visualisation.
Product Data Scientist,accuRx,London,Negotiable,You live and breathe data and have a track record of delivering results.
BI Data Scientist,Chubb INA Holdings Inc.,London,Negotiable,An analytical / data-driven approach and can work independently.
Data Scientist,Zopa Limited,London,Negotiable,Success in data science competitions.
Head of Data & Analytics,Ruby Labs™,"London
•
Remote",Negotiable,Implemented and scaled a data platform.
"Data Scientist, Forensics and Counter Fraud - Londo",Crowe,London EC4Y,Negotiable,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.
"Director of Data Science, Product",Monzo,"London
•
Remote",Negotiable,Be a key leader in building a discipline of exceptional data scientists working on making Monzo world class at tackling Data problems.
Data Analyst - Bio AI,InstaDeep,London,Negotiable,Conduct rigorous data analysis and statistical modelling to interpret the data and to improve models.
DATA SCIENCE CONSULTANT LONDON,managementsolutions,London,Negotiable,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …"
Senior Data Scientist,Datatonic,"London
•
Remote",Negotiable,"Multiple years experience as a data scientist, ideally from a consulting background."
Data Engineer - Machine Learning - AI Scale Up,Propel,"London
•
Remote","£60,000 - £80,000 a year",Working closely with the team's data scientists you will build the infrastructure and pipelines that allow data scientists to do their work efficiently and…
"Associate Educator, Data Scientist",BrainStation,"London
•
Remote",Negotiable,"Practical experience designing and applying data science processes to conduct experiments using a variety of tools and methods, and can speak to their…"
Full Stack Data Scientist/Software Engineer/ML Engineer,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Experience with big data technologies, modern data engineering practices, frameworks and data visualization tools."
Network Data Scientist - Developer,Sky,London,Negotiable,Working experience with handling and analysing large data sets.
Applied AI/ML Associat,"JPMorgan Chase Bank, N.A.",London,Negotiable,Research and analyse data sets using a variety of statistical and machine learning techniques.
Assistant Manager - Data Scientist (D grade),KPMG,London,Negotiable,"Proficient with programming languages used by data scientists and in big data platforms, like Python, R, Scala."
Data Scientist - Experimentation and Causal Inferenc,Just eat Takeaway.com,"London
•
Temporarily Remote",Negotiable,"You will teach your team new tricks and learn from them as well, taking on board feedback from other data scientists, including reviews of your code."
Data Science Manager - Personal Banking and Subscriptions,Monzo,"London
•
Remote",Negotiable,Be a key leader in building a discipline of exceptional data scientists working on making Monzo world class at tackling operations problems.
Senior Data Scientist,Deliveroo,London,Negotiable,Excellent people skills — you'll be meeting with stakeholders to translate business needs into data science problems.
Python Data Scientist (WFH 3 days a week),Exposed Solutions Limited,"London
•
Remote",Negotiable,: Refine and improve data collection and analysis tools.
Lead Data Scientist,Digitas,London,Negotiable,"✦ Has demonstrable experience of working in a cloud environment with VMs, GPUs, various data storage technologies across structures and unstructured data."
Data Scientist,Artefact,London,Negotiable,Forecast sales using a mixture of proprietary client data and third party data.
Senior Data Scientist,Sage,London,Negotiable,"Design, develop, deliver, and maintain high quality data science and machine learning solutions."
Senior Data Scientist,Spot Intelligence,London EC2A,Negotiable,Help build the platform by designing and productising machine learning models.
Data Analyst – Analytics Consultancy + SQL,AlignAlytics,"London WC1V 6PX
•
Remote","£40,000 - £60,000 a year",Experience building charts and “telling a story” using data.
"Insight Manager, Data Scienc",Head Office,London SW1E 5NN,Negotiable,Strong experience with applied statistics and standard data science techniques.
Lead Data Scientist,Space Ape Games,London,Negotiable,You are adept at data viz - knowing what data to show to tell the story and making it easy to understand for the audience.
Lead Data Scientist,Space Ape Games,London,Negotiable,You are adept at data viz - knowing what data to show to tell the story and making it easy to understand for the audience.
"Data Scientist, Causal Inferenc",Deliveroo,London,Negotiable,"Data Scientists at Deliveroo report into our data science management team, and we have a highly active data science community, with guest lecturers, study…"
"Geospatial Consultant, Deloitte AI & Data, LocationEdge, Con...",Deloitte,"London
•
Remote",Negotiable,"Experience with business intelligence, analytics, data, databases and predictive modelling."
Senior Data Scientist - Innovation Lab,Citi,London,Negotiable,The Technology Lead Business Analyst is a senior-level position responsible for liaising between business users and technologists to exchange information in a…
Lead Data Scientist,Trint,London,Negotiable,"Experience as a data scientist in business-facing teams spanning operations, sales, marketing and product."
Data Analytics Expert,Credit Suisse,London,Negotiable,Greenfield data science and analytics projects.
Data Science Intern (f/m/d),atai,London,Negotiable,"Communicate findings from data analyses, including displaying the data visually and intuitively."
Data Scientist,Lorien,London,"£100,000 a year",Assess the effectiveness of current data sources and data-gathering techniques and improve data collection methods.
Lead Data Scientist,Tessian,London,Negotiable,Mentor and knowledge share with data scientists at Tessian.
Research Intern (AI) - Londo,Facebook App,London,Negotiable,Devise data-driven models of human behaviour.
Principal Data Scientist,La Fosse Associates,London,"£90,000 - £110,000 a year",Comfortable setting product direction and leading other data scientists and engineers.
Full Stack Data Scientist,Sensor Tower,"London
•
Remote",Negotiable,Data Scientists at Sensor Tower are hybrid data scientists and software engineers.
Data Scientist,Lucid,London,Negotiable,Minimum 3+ years working experience in data science capacity.
Senior Data Scientist,Gemserv,"London
•
Temporarily Remote",Negotiable,Cloud based data science certifications – Ex: Azure data scientist associate.
Machine Learning Scientist (DS3),Asos.com,London,Negotiable,"Experience accessing and combining data from multiple sources and building data pipelines, including a good knowledge of SQL."
Analytical Data Scientist - Shopper Insights,KANTAR,London,Negotiable,Knowledge of applying statistical techniques essential and data science techniques desirable.
Senior Data Scientist,Morgan McKinley,London,£700 - £800 a month,Performing data queries from external and internal databases.
2022 AI & Data Science Analyst Program - Summer Internship (...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Knowledge of machine learning / data science theory, techniques and tools."
Senior Data Scientist,iTechmedia,London,Negotiable,Use SQL and DBMS technologies to obtain data for data analysis.
Scrum Master - Chief Data & Analytics Offic,Lloyds Banking Group,London,"£57,861 - £75,710 a year","You will have passion, if not experience, in data analytics, data science, or other analytics roles and disciplines."
Data Scientist,Colet systems,Hammersmith and Fulham,Negotiable,Trying to understand betting market dynamics through data analysis or split-testing.
Data Scientist - Java/ Pytho,Citi,London,Negotiable,The ideal candidate should be able to design and deploy machine learning models into complex data pipelines with a micro-services approach.
Data Scientist - LV General insuranc,LV= General Insurance,London,Negotiable,The Data Science team is excited to be recruiting exceptional data scientists into their growing and hugely successful team which is made up of talented and…
Data Scientist,Oho Group,London,"£70,000 - £80,000 a year",3+ years commercial experience working as a data scientist.
Lead Pricing Data Scientist,Cuvva,London,"£80,000 - £93,500 a year",Developing data enrichment requirements for pricing and collaborate with other teams on execution.
"Data Scientist, Ads Targeting, Signal Loss/RPA",Facebook App,London,Negotiable,"Support product experiments, launches, growth through data-driven decision making while keeping the team accountable and impactful."
Data Scientist,EPAM Systems,London,Negotiable,Provide unique insights from large volumes of data (and sometimes small data too!).
DATA SCIENTIST SEO,Bangura Solutions,London,Negotiable,Ability to analyse messy / incomplete data and draw clear insights.
Senior Data Scientist,Satalia,"London N1 9PP
•
Remote",Negotiable,"Comfortably switching between being a data scientist, client liaison and technical project manager."
"Senior Data Scientist, Commerc",Spotify,"London
•
Remote",Negotiable,5+ years of professional experience in data science or related fields.
"Senior Data Scientist, Commerc",Spotify,"London
•
Remote",Negotiable,5+ years of professional experience in data science or related fields.
Apple Media Products - Senior Data Scientist,Apple,London,Negotiable,Apple Media Products QA has an opening for a senior data scientist to help lead industry-defining efforts in the application of statistical analysis and machine…
Data Science Engineer,UBS,London,Negotiable,Delivery high quality data solution in most competitive market.
"Senior Data Scientist, Descriptive Analytics",Tripledot Studios,London,Negotiable,"Our senior descriptive data scientist will have the liberty to design and lead data collection, management and reporting efforts to ensure that the business…"
Senior Data Scientist,Credit Karma,London,Negotiable,"Experience with Finance data (credit record data, loan underwriting)."
Data Scientist,EMR Marketing Recruitment,London,"£55,000 - £60,000 a year","Focus on data science modeling alongside the Data Engineering team which focuses on the wrangling, clean-up, and transformation of data."
Genomic Data Scientist - Diverse Data/Population Genomics,Genomics England,London,Negotiable,Excellent ability to represent and visualise data to derive insights.
Data Scientist,Vyntelligence,London,Negotiable,"Some knowledge of data structures, data modelling and software architecture."
Senior Data Scientist - Knowledge Graphs,Farfetch,London,Negotiable,"You will technically design the KG system to fit several use cases such as search and recommendations, provide expertise around graph data modeling, implement…"
Lead Data Scientist,La Fosse Associates,London,"£90,000 - £105,000 a year","An end-to-end owner of supply chain data products - From optimising flows in the company's warehouse to forecasting how popular new recipes might be, data…"
Data Scientist,Sumner & Scott,"London
•
Remote","Up to £90,000 a year",Push the limits of what can be done with data.
Fraud Data Scientist,Harnham,London,"£60,000 - £70,000 a year","Develop and optimize models that leverage thousands of data points from the Digital Identity Network and various data feeds from customers, scoping, developing…"
Analytics Engineer,Monzo,"London
•
Temporarily Remote",Negotiable,"This may include payload design of source data, logical data modelling, implementation, metadata and testing standards."
Senior Data Scientist,Concirrus Ltd,London,Negotiable,"We’re data scientists, innovators, entrepreneurs, designers, developers, and insurance specialists."
Data Scientist,IPS Group,London,Negotiable,"We are partnered with a highly innovative Insurer operating within the Lloyd’s market who are at the cutting edge of technology in the General Insurance market,…"
Analytics Engineer,Monzo,"London
•
Temporarily Remote",Negotiable,"This may include payload design of source data, logical data modelling, implementation, metadata and testing standards."
Senior Data Scientist,Concirrus Ltd,London,Negotiable,"We’re data scientists, innovators, entrepreneurs, designers, developers, and insurance specialists."
Data Scientist,IPS Group,London,Negotiable,"We are partnered with a highly innovative Insurer operating within the Lloyd’s market who are at the cutting edge of technology in the General Insurance market,…"
Data Scientist,Choreograph,London,Negotiable,"You will be joining a large team of data scientists with experience and expertise in a wide range of methodologies, toolkits and applications to a variety of…"
"Data Scientist II, Product Analytics",Expedia Group,London EC1V 4EX,Negotiable,Excellent communicator to tell stories with data.
Data Scientist,Morgan McKinley,London,Negotiable,Experience delivering and driving action based on data-driven insights.
"Data Scientist - Data Science, Machine Learning, Data Engine...",Cornwaliis Elt,London,"£75,000 - £90,000 a year","This team work directly with clients, conducting both traditional data science/analysis relating to investment opportunities as well as wider projects relating…"
SENIOR DATA SCIENTIST,Harnham,London,£550 - £600 a day,"The ideal candidate will work end to end from data exploration, creating data pipeline, generating insights as well as building and deploying ML models."
Data Scientist,Consortia,London,"£55,000 - £65,000 a year",The ability to spot opportunities within data and act on them.
Lead Data Scientist (Deals Insights & Analytics),PwC,London,Negotiable,"A world class and truly diverse team with a range of data science, technology, commercial, financial and industry backgrounds."
Data Scientist,Circle,London,Negotiable,"Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…"
Quantitative Analytics and Electronic Trading Associate - Ex...,Barclays,London E14,Negotiable,"Our quants are highly specialised quantitative traders, researchers, and data scientists responsible for developing, deploying and running algorithmic trading…"
"Senior Consultant, Data Scientist (Pred/Opt), Analytics & Co...",Deloitte,London,Negotiable,Set data requirements for predictive modelling and liaise with the data engineer to ensure all the data is captured for statistical analysis.
Data Scientist - JID 13831,Spinwell Global,London,£450 a day,"Programming in analytical languages, mainly R and SQL, to generate user interfaces and data visualisations using tools such as RShiny."
Data Science Developer,Barclays,"London E14
•
Remote",Negotiable,"Working on all aspects of analysis, design, implementation and deployment of all software, related to the core data applications."
Graduate Invent Accelerate Programme - Analytics & AI 2022,Capgemini Invent,London,Negotiable,"The programme is designed for talented, analytics and data science passionate graduates or those currently working who are looking for a role where they can…"
Lead Data Scientist,Funding Circle UK,London EC4V,Negotiable,We are looking for a talented Data scientist to join our Existing Borrower and Investor Analytics team.
"Machine Learning Engineer, Recommendation - TikTok",TikTok,London,Negotiable,Solid experience with data structures or algorithms.
Information Analyst/Data Scientist,Maxxima,London,£15 - £23 an hour,"Maxxima are currently recruiting Information Analyst/Data Scientist to work within the Blood Safety, Hepatitis, STI and HIV (BSHSH) Division to carry out…"
Machine Learning Engineer,TikTok,London,Negotiable,Well understanding of data structures and algorithms;
"Lead Data Scientist, Growth Analytics",Spotify,"London
•
Remote",Negotiable,Passionate about fostering a data and insights driven culture.
Research Data Scientist,dunnhumby,London,Negotiable,"Experience with handling large data volumes with modern data processing tools, e.g. by using Hadoop / Spark / SQL Analytical Techniques."
DATA SCIENTIST | VERV | LONDON OR SHEFFIELD,Austin Consultants,"London
•
Temporarily Remote","£55,000 - £65,000 a year",Experience with data pipeline technologies such as airflow.
Data Scientist,Alchemy Recruitment Ltd,London,Negotiable,"Previous experience with big data, data pipelines, architectures, and data set."
Data Scientist,The Gym Group,Croydon,Negotiable,We are a rapidly growing organisation with the ability to explore new data sources and try out data science techniques to help create innovative data-driven…
Data Scientist,Aquent,"London
•
Remote",£498 a day,"Experienced in either programming languages such as Python/R, big data tools such as Hadoop, or data visualization tools such as Tableau."
Data Scientist,Plum Guide,London,Negotiable,We're big on data.
Consultants - Data Science & Analytics,Amey,North London,Negotiable,"Have experience with big data technologies e.g. Spark, Cassandra."
Product Data Scientist,Harnham,"London
•
Remote","£55,000 - £75,000 a year",This is an exciting new opportunity for a Product Data Scientist to work for a rapidly growing Fintech!
Machine Learning Scientist III,Expedia Group,London EC1V 4EX,Negotiable,Demonstrated ability to build and maintain multiple data science project/product in production environments.
Consultants - Data Science & Analytics,Amey,North London,Negotiable,"Have experience with big data technologies e.g. Spark, Cassandra."
Product Data Scientist,Harnham,"London
•
Remote","£55,000 - £75,000 a year","The Data Scientists will be working in a squad with other engineers and product managers, working on projects end-to-end with the overall aim of improving…"
Machine Learning Scientist III,Expedia Group,London EC1V 4EX,Negotiable,Demonstrated ability to build and maintain multiple data science project/product in production environments.
"Senior Data Scientist, Experienc",Spotify,"London
•
Remote",Negotiable,"Co-operate with cross-functional teams of data scientists, user researchers, product managers, designers and engineers who are passionate about our consumer…"
Asst Dir-Data Scientist,Moody’s,London,Negotiable,Collaborate with financial researchers and data analysts on research projects.
Head of VitalityLife Data Scienc,Vitality,"London
+1 location",Negotiable,"Works closely with other Data and Analytics Teams, inclusive of data warehousing and data engineering teams, in creating big data applications through the…"
Senior Data Scientist,Tripadvisor,London,Negotiable,"Lead data science projects from concept to implementation: data exploration, modeling, productizing & coordinate work for deployment and integration."
Senior Data Scientist,muzmatch,"London
•
Temporarily Remote","£60,000 - £75,000 a year","You'll be responsible for developing, deploying and maintaining ML models that power core features of the product."
Graduate Invent Accelerate Programme – Analytics & AI 2022,Capgemini Invent,London,Negotiable,"The programme is designed for talented, analytics and data science passionate graduates or those currently working who are looking for a role where they can…"
Machine Learning Engineer,G-Research,London,Negotiable,Writing custom libraries for efficiently training on terabytes of data.
Brand Sales Specialist - Data & AI,IBM,London,Negotiable,"IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software…"
Senior Applied Scientist/Machine Learning Engineer,Microsoft,London,Negotiable,"Excellent problem solving and data analysis skills, with expertise in developing or applying predictive analytics, statistical modelling, data mining, or…"
Data Scientist (Associate or VP) - Applied AI for Global Tec...,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable experience in data structure, data mining and data analysis techniques with real world data."
Data Scientist (All Levels),Harnham,London,"£60,000 - £120,000 a year",Looking for commercially strong Data Scientists to join their team!
Data Scientist,Mackin,London,Negotiable,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau."
Data Scientist,IDEX Consulting,London,"£60,000 - £65,000 a year",Strong knowledge of database and data lake systems.
Data Scientist,Harnham US,London,"£40,000 - £55,000 a year","Transform processes globally, building data infrastructure and analytics platforms to aid all data driven teams."
Data Scientist,MBN Solutions,"London N1
•
Temporarily Remote","Up to £70,000 a year","You’ll work on the full lifecycle of products, from research through to productionization."
Senior Data Scientist - Financial Crim,Revolut,"London
•
Remote",Negotiable,"With data we build intelligent real-time systems to personalise our product, tackle financial crime, automate reporting, track team performances and enhance…"
Digital Audit - Data Scientist Senior Associat,PwC,London,Negotiable,"We often assure that information and data provided to the audit practice is accurate, complete, and can be trusted."
Data Scientist,MBN Recruitment Solutions,London,"£80,001 - £100,000 a year","You’ll be able to identify opportunities in data, worked with Data Engineering, Machine Learning and non-technical stakeholders."
"Machine Learning Engineer, PhD Summer Intern - 2022 Start",TikTok,London,Negotiable,"Developing highly scalable ML learning algorithms for computer vision, natural language processing, data mining and user modelling;"
"Applied Intelligence - Healthcare Data Science, Consulting,...",Accenture,London,Negotiable,"Relevant work experience in data science, machine learning, business analytics, Data architecture or Data Engineering."
Climate Analytics Consultant,Institutional Shareholder Services,London,Negotiable,Manage the implementation of advisory mandates and bespoke data deliveries of ISS ESG Climate Solutions.
Intern - Machine Learning Engineer,Behold.ai,London,Negotiable,
Data Scientist,Huntress,London,£35 - £40 an hour,Experience delivering and driving action based on data- driven insights.
Academic Tutor in Data Science and Bioinformatics,wise weights limited,"Woking
•
Remote",£40 - £60 an hour,Supervising undergraduate or postgraduate students to improve their research ability via an online platform.
Senior Data Scientist,"Jefferies & Company, Inc.",London,Negotiable,We are looking for a hands-on-data scientist with deep experience in Statistical and Machine Learning to help us build and integrate data-driven intelligent…
Data Scientist,Avanade,London,Negotiable,"Capabilities in the areas of data engineering, data modelling and complex big data analysis."
Lead Data Scientist,Marks & Spencer,London,Negotiable,"Specialist in mining large & sophisticated data sets - both structured and unstructured data and including (but not limited to) efficient extraction of data,…"
Data Scientist,Artefact,London,Negotiable,Forecast sales using a mixture of proprietary client data and third party data.
"PhD Student, London (AI)",Facebook App,London,Negotiable,Devise data-driven models of human behaviour.
Lead Data Scientist,Computappoint Ltd.,London EC4R,"£110,000 a year",Development of new data science products and solutions.
2022 UK Graduate Tax Accountant,Mott MacDonald,Croydon,Negotiable,Identify more efficient ways to extract and manipulate the data that is required as inputs into the compliance processes.
Senior Data Scientist,Morgan McKinley,London,£700 - £800 a month,Performing data queries from external and internal databases.
Head of Data Science - Consulting - Londo,Morgan McKinley,London,"£115,000 - £120,000 a year",Experience running projects / engagements and providing advice for how to implement data science solutions.
Data Scientist,IDEX Consulting,London,"£60,000 - £65,000 a year",Strong knowledge of database and data lake systems.
Senior Data Scientist,Tessian,London,Negotiable,"You work for a business function analysing & reporting on how to improve a key metric, e.g increasing user conversion."
Lead Data Scientist - MLOps,Ocado Technology,London,Negotiable,Drive a consistent strategy around the use of data and data science across Ocado Technology.
Data Scientist,Sumner & Scott,"London
•
Remote","Up to £90,000 a year",Push the limits of what can be done with data.
Data Scientist,Brit Group Services,London,Negotiable,3+ years utilising data science in a commercial.
Data Scientist,Zopa Limited,London,Negotiable,"Experience of full life-cycle of a data science project, from data collection, EDA, model building to deployment."
Application Support Specialist,Thomas Ren Associates,London,"£30,000 a year","The successful Application Support/Junior Data Scientist will be split between being the main point for all IT queries, supervising that Service Desk Tickets…"
Analytics Engineer,Tes Global,London,Negotiable,Managing data processing pipelines using SQL and dbt.
Data Scientist,MBN Recruitment Solutions,London,"£80,001 - £100,000 a year","You’ll be able to identify opportunities in data, worked with Data Engineering, Machine Learning and non-technical stakeholders."
Senior Data Scientist,Sky,Isleworth,Negotiable,"Experience using SQL for data extraction, feature development etc."
Data Science Internship - 2022 UK Summer Internship -CR,Verisk,London,Negotiable,"Data sets of interest include large imagery and physical science data, payments industry data, and insurance data."
Machine Learning Engineer,Robin AI,London,"£50,000 - £80,000 a year","Our current product uses machine learning to read and comprehend written contracts, assesses whether they adhere to our customers’ preferred positions, and then…"
Senior Data Scientist (London based with hybrid/remote worki...,Talenting,"London
•
Temporarily Remote","£65,000 - £85,000 a year","They are looking for someone with at least a couple of years working in data science, or someone who has worked in a similar analytics function with good…"
"Research Scientist, Core Data Scienc",Facebook App,London,Negotiable,"Experience in scalable dataset assembly / data wrangling, such as Presto, Hive or Spark."
Senior People Data Scientist,UBS,London,Negotiable,"Work with data scientists and data engineers to collect and wrangle data and then design, build, validate, and deploy statistical and machine learning models to…"
"VP, Data Scienc",GWI,London,Negotiable,You will be able to both represent the voice of data science to company leadership and lead and inspire your fast growing team of data scientists.
Internship in Machine Learning,G-Research,London,Negotiable,We will also consider exceptional candidates with a proven record of success in online data science competitions (e.g. Kaggle).
LECTURER IN GEOGRAPHIC DATA SCIENCE,"Birkbeck, University of London",London,"£39,173 - £54,142 a year","Experience in some or all the following techniques is required for this position: GIS tools (e.g., Esri Software, R, QGIS etc.), programming languages (Python,…"
Data Science Consultant - Artificial Intelligence Advisory,PwC,London,Negotiable,Working with data scientists and engineers to translate business requirements and architect solutions.
Data Analyst / Scientist,Lorien,"London
•
Remote",£350 - £387 a day,Ability to interpret business requests and convert them into data needs/reports.
Senior Data Scientist - Platform,Signal AI,London,Negotiable,"This particular role will initially be within a team whose responsibilities include effectiveness and efficiency of our labelling processes and tool, training,…"
Machine Learning Operations Engineer – Londo,Beauhurst,"London
•
Remote",Negotiable,Monitoring – diagnosing problems quickly by building systems that detect changes in the source data or problems with our underlying assumptions.
Senior Data Scientist (Strategy Simulations),Choreograph,London,Negotiable,Experience analysing large volumes of data.
Data Scientist,Allen Recruitment Consulting,"London
•
Remote",Negotiable,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau."
"2022 Applied Science Internship - Machine Learning, Automate...",Amazon Dev Centre (London) Ltd,London,Negotiable,"Experience in solving business problems through machine learning, data mining and statistical algorithms."
"Machine Learning Engineer Intern, Camera Platform (UK)",Snapchat,London,Negotiable,"End-to-end responsibility of developing machine learning models, including research, design, data preprocessing, training and benchmarking."
Lead Data Scientist,Naama Studios,London,Negotiable,We are looking for a passionate and hard-working data scientist to join our founding team.
Computational Scientist/ Data Analyst,National Physical Laboratory,Teddington,Negotiable,"We are now seeking postdoctoral scientists to develop computational methods for data analysis, data visualisation, high-speed computational methods for large…"
Analytics and Personalisation Consultant,Accenture,London,"£65,000 a year",Experience in measuring the uplift of data driven marketing.
Senior Data Scientist,Direct Line Group,"Bromley
•
Remote",Negotiable,"The Senior Data Scientist will have access to a wide range of internal and external data sets, such as digital customer journeys, breakdown data and sales data."
Bioinformatics Data Scientist,BenevolentAI,London,Negotiable,"Provide domain expertise in the processing and application of biomedical data within a multidisciplinary team of data scientists, machine learning specialists…"
Data Scientist - Machine Learning (Python/SQL),Linux Recruit,London,"£70,000 - £100,000 a year","You will be involved in the full lifetime of their data products responsible for analysis of data to inform strategic business decisions, designing and building…"
Data Science Manager / Senior Data Scientist,Harnham,London,"£80,000 - £130,000 a year","Experience using Python for data science techniques, regression, clustering etc."
"Senior Data Scientist, ESG Innovation and Analytics",S&P Global,London E14 5LH,Negotiable,Demonstrated skills in data and project management.
Machine Learning Engineer - VC Backed Realtime Analytics Sta...,Propel,"London
•
Remote","£60,000 - £70,000 a year",Using big data technologies and software engineering skills to produce reliable and efficient data pipelines.
Python Data Scientist (WFH 3 days a week),Exposed Solutions Limited,"London
•
Remote",Negotiable,: Refine and improve data collection and analysis tools.
Business Data Scientist,Harnham,London,"£45,000 - £55,000 a year",Experience with data extraction and warehousing projects.
Lead Data Scientist,Arup,London,Negotiable,"Contribute to the leadership of, and help build, an existing team of data scientists."
"Data Scientist, Inventory Management",Amazon EU SARL (UK Branch),London,Negotiable,Understanding of data warehousing and data modeling.
"Data Scientist, Inventory Management",Amazon EU SARL (UK Branch),London,Negotiable,Understanding of data warehousing and data modeling.
